headline,impact_score,published_at,category,ticker,source,sentiment_label,urgency,data_type
Fed event impacts volatility,74.37,2025-05-09,earnings,TSLA,CNBC,neutral,high,news
Fed event impacts volatility,25.18,2025-05-09,ai,SPY,Reuters,neutral,medium,news
Fed event impacts volatility,36.44,2025-05-12,earnings,SPY,Bloomberg,negative,medium,news
Bitcoin event impacts volatility,70.08,2025-05-12,fed,NVDA,CNBC,negative,low,news
Market event impacts volatility,96.47,2025-05-13,earnings,TSLA,CNBC,neutral,high,news
AI event impacts volatility,35.5,2025-05-13,fed,TSLA,Bloomberg,positive,high,news
ETF event impacts volatility,78.48,2025-05-14,fed,SPY,Reuters,positive,medium,news
ETF event impacts volatility,53.91,2025-05-14,fed,SPY,Bloomberg,neutral,high,news
Bitcoin event impacts volatility,72.37,2025-05-15,fed,SPY,CNBC,neutral,low,news
AI event impacts volatility,79.38,2025-05-15,macro,BTC,Reuters,negative,low,news
Market event impacts volatility,34.44,2025-05-16,macro,NVDA,CNBC,negative,medium,news
AI event impacts volatility,70.65,2025-05-16,fed,NVDA,CNBC,neutral,medium,news
Market event impacts volatility,32.14,2025-05-19,macro,NVDA,CNBC,positive,low,news
Bitcoin event impacts volatility,83.28,2025-05-19,ai,SPY,CNBC,neutral,low,news
ETF event impacts volatility,56.26,2025-05-20,earnings,TSLA,Reuters,positive,medium,news
ETF event impacts volatility,68.24,2025-05-20,crypto,SPY,CNBC,negative,low,news
Bitcoin event impacts volatility,35.76,2025-05-21,crypto,TSLA,Reuters,neutral,low,news
Bitcoin event impacts volatility,74.96,2025-05-21,crypto,NVDA,Bloomberg,neutral,low,news
Fed event impacts volatility,61.44,2025-05-22,fed,TSLA,CNBC,negative,high,news
ETF event impacts volatility,43.19,2025-05-22,fed,TSLA,Bloomberg,negative,high,news
Bitcoin event impacts volatility,5.6,2025-05-23,crypto,TSLA,Reuters,negative,high,news
Market event impacts volatility,60.57,2025-05-23,macro,BTC,Reuters,neutral,high,news
ETF event impacts volatility,98.3,2025-05-26,crypto,SPY,Bloomberg,positive,medium,news
Market event impacts volatility,79.81,2025-05-26,crypto,TSLA,CNBC,positive,medium,news
Market event impacts volatility,67.2,2025-05-27,crypto,NVDA,Bloomberg,positive,medium,news
ETF event impacts volatility,16.07,2025-05-27,ai,BTC,Reuters,neutral,low,news
Bitcoin event impacts volatility,14.64,2025-05-28,ai,TSLA,Bloomberg,negative,medium,news
Market event impacts volatility,5.02,2025-05-28,earnings,NVDA,Reuters,positive,low,news
Fed event impacts volatility,53.3,2025-05-29,earnings,BTC,Bloomberg,positive,low,news
Bitcoin event impacts volatility,52.65,2025-05-29,fed,SPY,Reuters,neutral,high,news
AI event impacts volatility,84.89,2025-05-30,ai,NVDA,Reuters,positive,low,news
ETF event impacts volatility,67.23,2025-05-30,fed,NVDA,Bloomberg,negative,low,news
AI event impacts volatility,73.52,2025-06-02,fed,NVDA,Reuters,neutral,medium,news
Bitcoin event impacts volatility,72.74,2025-06-02,macro,SPY,Reuters,negative,medium,news
AI event impacts volatility,39.47,2025-06-03,ai,TSLA,Reuters,negative,medium,news
Fed event impacts volatility,8.97,2025-06-03,fed,SPY,Bloomberg,positive,low,news
Bitcoin event impacts volatility,27.85,2025-06-04,earnings,NVDA,Reuters,positive,medium,news
Fed event impacts volatility,27.51,2025-06-04,macro,TSLA,Bloomberg,negative,high,news
ETF event impacts volatility,58.64,2025-06-05,ai,NVDA,Reuters,positive,medium,news
