rebalance_month,ticker,weight,allocation,sector,return_pct,beta,volatility,sharpe_ratio,risk_score,data_type
2025-01,AAPL,20.62,growth,Tech,11.77,0.71,53.15,3.28,9.13,portfolio
2025-01,NVDA,15.4,satellite,EV,4.15,1.37,63.83,-0.71,45.42,portfolio
2025-01,TSLA,7.98,growth,Cloud,31.8,2.18,32.09,2.18,11.12,portfolio
2025-01,MSFT,24.47,core,AI,-0.74,2.43,20.11,0.11,71.43,portfolio
2025-01,AMZN,5.25,satellite,Consumer,-6.77,2.44,24.8,3.21,63.35,portfolio
2025-01,META,9.62,satellite,EV,13.27,1.76,33.85,3.08,34.01,portfolio
2025-01,GOOGL,4.88,hedge,Cloud,-18.78,2.18,64.64,-0.28,55.35,portfolio
2025-02,AAPL,19.74,satellite,Tech,17.31,2.11,68.4,1.5,16.17,portfolio
2025-02,NVDA,6.59,growth,AI,1.86,2.42,24.82,2.95,96.16,portfolio
2025-02,TSLA,10.87,hedge,EV,3.33,0.84,13.33,1.16,19.08,portfolio
2025-02,MSFT,24.93,satellite,Tech,57.62,1.99,67.15,0.82,89.54,portfolio
2025-02,AMZN,18.02,satellite,Tech,8.3,1.85,53.24,2.37,16.77,portfolio
2025-02,META,5.11,hedge,EV,39.05,2.5,60.25,-0.76,77.22,portfolio
2025-02,GOOGL,11.95,satellite,Tech,4.64,1.2,60.93,1.42,83.59,portfolio
2025-03,AAPL,7.32,satellite,AI,21.91,0.93,56.45,2.05,47.56,portfolio
2025-03,NVDA,9.87,growth,Cloud,-11.34,0.89,35.14,1.8,79.39,portfolio
2025-03,TSLA,1.79,core,EV,27.75,1.07,22.54,-0.06,8.18,portfolio
2025-03,MSFT,4.07,satellite,Tech,-6.78,1.53,26.95,3.54,33.17,portfolio
2025-03,AMZN,18.35,core,EV,58.49,2.13,60.5,0.45,8.42,portfolio
2025-03,META,7.32,hedge,Cloud,1.39,1.95,28.76,1.52,32.62,portfolio
2025-03,GOOGL,6.48,core,Consumer,-11.75,1.5,23.61,0.38,98.62,portfolio
2025-04,AAPL,8.09,hedge,EV,-6.14,1.92,42.79,-0.18,4.91,portfolio
2025-04,NVDA,9.96,satellite,EV,30.52,1.53,26.88,1.76,12.7,portfolio
2025-04,TSLA,21.75,growth,EV,-8.65,2.34,24.24,2.08,54.08,portfolio
2025-04,MSFT,24.69,core,AI,42.71,1.33,45.72,1.47,63.8,portfolio
2025-04,AMZN,3.26,growth,Cloud,-1.28,1.61,28.95,-0.45,32.58,portfolio
2025-04,META,3.96,core,Cloud,28.44,1.82,33.91,2.49,18.18,portfolio
2025-04,GOOGL,22.74,satellite,EV,52.16,0.79,57.63,-0.07,46.28,portfolio
2025-05,AAPL,6.18,core,EV,-8.01,2.18,49.7,3.32,31.88,portfolio
2025-05,NVDA,13.42,hedge,Consumer,55.2,1.52,57.57,2.49,17.04,portfolio
2025-05,TSLA,6.35,core,Cloud,15.14,0.73,35.91,0.18,98.28,portfolio
2025-05,MSFT,13.35,satellite,AI,41.8,1.45,14.28,2.3,58.75,portfolio
2025-05,AMZN,18.3,core,Cloud,-8.04,1.18,10.85,3.02,72.56,portfolio
2025-05,META,9.45,growth,Tech,23.36,2.23,36.49,-0.25,37.33,portfolio
2025-05,GOOGL,10.61,satellite,AI,59.25,1.51,53.71,3.24,64.16,portfolio
2025-06,AAPL,7.55,satellite,Consumer,-10.18,0.87,22.95,1.76,4.35,portfolio
2025-06,NVDA,14.75,hedge,Consumer,6.61,1.4,38.64,-0.05,98.5,portfolio
2025-06,TSLA,8.92,hedge,AI,46.75,0.86,58.49,-0.96,18.49,portfolio
2025-06,MSFT,23.22,hedge,Consumer,42.18,1.14,44.72,1.17,99.23,portfolio
2025-06,AMZN,6.65,growth,EV,37.0,2.44,24.18,1.22,81.65,portfolio
2025-06,META,14.24,core,EV,9.97,2.38,65.05,0.24,74.28,portfolio
